...1,Authors (Year),ID,Site,Lat,Long,Management_(OA_MPA_MEARB_Other),Temporal_Scale,Mean kelp,Mean no Kelp,Mean + one error bar Kelp,Mean + one error bar no Kelp,Error Kelp,Error no-Kelp,Error Type,Variable,N (Kelp),N (no-kelp),Unit Dimensions,Area (m2),Notes on Type of study,Comments,Kelp Taxon,Clearing Size (m^2),Time Until Resampling (days),Mean Depth (m),Inferred Mechanism of Clearing (experiment_storm_heat wave_barren_kelp addition),Type of Study (Experimental_ObservatioNAl),"Observational Study Type (Spatial, Temporal)",Single Species? (yes/no),Total Abundance? (yes/no),Species Richness? (yes/no),Biomass? (yes/no),Clearing Response (algae_barren_kelp),"Survey Type (quadrat, transect, video, photo, Net/Trap)",Short Variable Description,Latititude in Decimal Degrees,Longitude in Decimal Degrees,"Juvenile, Adult, Both",sample unit area (m^2),Total Area Sampled per Treatment (m^2: n*replicate area),Mean kelp t0,Mean no Kelp t0,Mean + one error bar Kelp t0,Mean + one error bar no Kelp t0,Error Kelp t0,Error no-Kelp t0,Error Type t0,Date of t0 (dd/mm/yyyy),Fish Species,Order,Family,Trophic level,Trophic group,Total Lenght (cm),Biomass (gr),Habitat Association (Benthic-Pelagic-Demersal)
96,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,3.89,81.39,6.68,100.41,2.79,19.02,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
97,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.96,0,1.88,0,0.92,0,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
98,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,7.26,0,13.98,0,6.72,0,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
99,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.96,14.41,1.88,30.89,0.92,16.48,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
100,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,7.26,8.65,13.98,21.64,6.72,12.99,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Transect,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
101,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.96,21.26,1.88,41.44,0.92,20.18,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
102,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,7.26,81.39,13.98,100.41,6.72,19.02,SD,Number of Upeneichthys lineatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(3),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Upeneichthys lineatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Upeneichthys lineatus,Mulliformes,Mullidae,"3,4",Carnivore,40,"1054,873518",Demersal
103,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,2.6,0,4.66,0,2.06,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
104,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,3.81,0,7.4,0,3.59,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
105,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,2.6,1.04,4.66,2.99,2.06,1.95,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
106,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,3.81,3.75,7.4,9.34,3.59,5.59,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
107,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,2.6,0,4.66,0,2.06,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
108,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,3.81,0.6,7.4,1.15,3.59,0.55,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
109,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.88,0,1.62,0,0.74,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
110,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4,0,7.12,0,3.12,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
111,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.88,1.04,1.62,2.99,0.74,1.95,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
112,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4,3.75,7.12,9.34,3.12,5.59,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
113,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.88,0,1.62,0,0.74,0,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
114,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4,0.6,7.12,1.15,3.12,0.55,SD,Number of Cheilodactylus spectabilis in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(4),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Cheilodactylus spectabilis abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
115,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,6.89,0,8.74,0,1.85,0,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
116,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,9.44,0,11.73,0,2.29,0,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
117,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,6.89,4.8,8.74,6.52,1.85,1.72,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
118,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,9.44,7.84,11.73,11.18,2.29,3.34,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
119,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,6.89,1.06,8.74,1.78,1.85,0.72,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
120,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,9.44,2.45,11.73,4.25,2.29,1.8,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
121,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.52,0,6.42,0,1.9,0,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
122,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,5.24,0,7.42,0,2.18,0,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
123,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.52,4.8,6.42,6.52,1.9,1.72,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
124,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,5.24,7.84,7.42,11.18,2.18,3.34,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
125,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.52,1.06,6.42,1.78,1.9,0.72,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
126,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,5.24,2.45,7.42,4.25,2.18,1.8,SD,Number of Notolabrus celidotus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(5),Ecklonia radiata,NA,NA,"17,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notolabrus celidotus abundane,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
127,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.86,0,1.66,0,0.8,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
128,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.83,0,8.82,0,3.99,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
129,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.86,0,1.66,0,0.8,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
130,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.83,0.46,8.82,1.08,3.99,0.62,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
131,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,0.86,0,1.66,0,0.8,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
132,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,4.83,0,8.82,0,3.99,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"13,375",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
133,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,1.37,0,2.84,0,1.47,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1375,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
134,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,2.24,0,4.81,0,2.57,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"14,25",barren,Observational,Spatial,yes,no,no,no,no,Transect,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
135,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,1.37,0,2.84,0,1.47,0,SD,Number of Notoclinops segmentatus in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,6,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 4(6),Ecklonia radiata,NA,NA,"10,625",barren,Observational,Spatial,yes,no,no,no,no,Point Count,Notoclinops segmentatus abundance,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
