"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Ecklonia radiata",177,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2010",2.24,4.39,2.29,4.44,0.05,0.05,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387298334620742,0.547722557505166,-0.508972055116668,-0.508972055116668,0.000324201971451379,-4.27944877154076,0.0758713383006716,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",178,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2011",2.05,2.39,2.1,2.43,0.05,0.04,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387298334620742,0.438178046004133,-0.105688330773039,-0.105688330773039,0.000407971038076211,-0.802298929385583,0.0267880099224813,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",179,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2012",2.05,2.75,2.1,2.78,0.05,0.03,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387298334620742,0.3286335345031,-0.206614249362999,-0.206614249362999,0.000332744961031981,-1.99627968213707,0.0360698126925369,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",180,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2013",2.34,3,2.53,3.09,0.19,0.09,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47173367155882,0.985900603509299,-0.180323554131282,-0.180323554131282,0.0037422928842913,-0.56195503793441,0.0258772040684996,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",181,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2014",2.34,3.15,2.53,3.29,0.19,0.14,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47173367155882,1.53362316101447,-0.217137527253998,-0.217137527253998,0.0043740890448371,-0.532963511297608,0.0257890280677074,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",182,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2025",1.96,2,2.19,2.68,0.23,0.68,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78157233925541,7.44902678207026,-0.0134230203321408,-0.0134230203321407,0.0574154877850824,-0.00644892789611681,0.0250001155240861,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",183,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2026",1.96,3.57,2.19,3.78,0.23,0.21,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78157233925541,2.3004347415217,-0.434323936570144,-0.434323936570144,0.00814928344074216,-0.748314831472618,0.026555486352783,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",184,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2027",2.76,2.91,3.2,3,0.44,0.09,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40822534466253,0.985900603509299,-0.0391184165954714,-0.0391184165954714,0.0142238030260203,-0.0704117233672759,0.0250137716966321,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",185,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2028",2.76,3.76,3.2,3.78,0.44,0.02,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40822534466253,0.219089023002066,-0.235828710841526,-0.235828710841526,0.0137116332965695,-0.505378317402178,0.025709464565834,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",186,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2029",3.1,2.34,3.49,2.68,0.39,0.34,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02092701004179,3.72451339103513,0.205016166721653,0.205016166721653,0.0194106941197096,0.215796253411307,0.0251293556194065,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",187,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2030",3.1,4.61,3.49,5,0.39,0.39,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02092701004179,4.2722359485403,-0.313563745824343,-0.313563745824343,0.0138810375583956,-0.385329018785126,0.0254124401464386,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",188,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2031",2.19,2.96,2.68,3.69,0.49,0.73,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79552367928327,7.99674933957542,-0.216223108469636,-0.216223108469636,0.0575770026257361,-0.111220482828064,0.0250343610994459,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",189,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2032",2.19,3.61,2.68,3.69,0.49,0.08,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79552367928327,0.876356092008266,-0.368206940211804,-0.368206940211804,0.0238956475504115,-0.614875133384436,0.026050198415707,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",190,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2033",2.76,2.4,3,2.48,0.24,0.08,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85903200617956,0.876356092008266,0.100643525779687,0.100643525779688,0.00462787495633622,0.278321620793711,0.025215174790559,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",191,"Morton and Gladstone (2011)","42","Bull Reef. Central coast of New South Wales (NSW) Australia.",-33.983,151.25,"OA","Between August 2003 and May 2034",2.76,4.15,3,5,0.24,0.85,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a2)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.983,151.25,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85903200617956,9.31128347758782,-0.314577757273842,-0.314577757273842,0.0313152635123086,-0.180034321252762,0.0250900343245248,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",1366,"Willis and Anderson (2003)","","Cape Rodney-Okakari Point Marine Reserve, northeastern New Zealand",-36.283,174.8,"OA"," 3 month 1999",9.52,7.2,11.11,7.71,1.59,0.51,"SE","Mean fish richness in OA area",3,3,"3*3","9","Fish species richness spatial comparison in OA area. Mortal capture.","Fig. 5e Comparison of mean fish richness between kelp and no-kelp areas in a OA location",NA,NA,NA,NA,"Observational","Spatial","no","no","yes","no","na","Quadrat","Fish richness",-36.283,174.8,"Both",9,54,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.75396078403451,0.883345911860127,0.249144053039356,0.249144053039356,0.0267117396786457,0.905149790884277,0.734941345328154,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",1358,"Smith et al. (2014)","68","New South Wales ",-37.08,149.93,"","October 2000 to January 200",14.29,21.08,NA,NA,2.78,5.91,"SE","Mean Species Richness",6,6,"m2","125","Figure 2 Means (1 SE) for (a) the total number of species, in each combination of Habitat  Region (n = 16 sites per combination of levels and a site consisted of counts summed across six transects) of Australasian temperate reef fishes. Standard errors are based on n = 4 location means within each region","Fig 2",NA,NA,10,"barren","Observational","Spatial","no","no","yes","no","barren","transect","Species Richness",-37.08,149.93,"Adult",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80958148493723,14.4764843798486,-0.367473201467924,-0.367473201467924,0.104701356083715,-0.553858116587326,0.346114950554569,"Single","1","Single","Erect","Low",NA,2,"Cape Howe","Southeast Australian Shelf","Temperate Australasia"
"Ecklonia radiata",1368,"Willis and Anderson (2003)","","Cape Rodney-Okakari Point Marine Reserve, northeastern New Zealand",-36.283,174.8,"MPA"," 3 month 1999",4.5,5.99,5.58,7.04,1.08,1.05,"SE","Mean fish richness in MPA area",3,3,"3*3","9","Fish species richness spatial comparison in MPA area. Mortal capture","Fig. 5e Comparison of mean fish richness between kelp and no-kelp areas in a MPA location",NA,NA,NA,NA,"Observational","Spatial","no","no","yes","no","na","Quadrat","Fish richness",-36.283,174.8,"Both",9,54,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.87061487217439,1.81865334794732,-0.239732464007294,-0.239732464007294,0.0611231014181982,-0.644425953516047,0.701273734130422,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",1166,"Ling (2014)","UP2","Elephant Rock ",34.052,-119.747,"OA","2013",4,8,NA,NA,2.8,2.8,"SD","Fish Richness",2,2,"","1","Kelp versus Barren Data (Unpublished)","",NA,NA,1,NA,"Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",34.052,-119.747,"Both",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,-0.587786664902119,-0.587786664902119,0.205195061728395,-0.805985119353938,1.0812015015775,"Single","1","Single","Erect","Low",NA,57,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Ecklonia radiata",1167,"Ling (2014)","UP2","Mistaken Cape",34.052,-119.747,"OA","2013",5,5.5,NA,NA,1.4,0.7,"SD","Fish Richness",2,2,"","1","Kelp versus Barren Data (Unpublished)","",NA,NA,1,NA,"Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",34.052,-119.747,"Both",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.7,-0.0800427076735364,-0.0800427076735364,0.0330210387902696,-0.25487487373611,1.00812015015775,"Single","1","Single","Erect","Low",NA,57,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Ecklonia radiata",1356,"Smith et al. (2014)","68","Western Australia",-34.3,115.1,"","October 2000 to January 200",25.39,27.04,NA,NA,4.68,4.57,"SE","Mean Species Richness",6,6,"m2","125","Figure 2 Means (1 SE) for (a) the total number of species, in each combination of Habitat  Region (n = 16 sites per combination of levels and a site consisted of counts summed across six transects) of Australasian temperate reef fishes. Standard errors are based on n = 4 location means within each region","Fig 2",NA,NA,10,"barren","Observational","Spatial","no","no","yes","no","barren","transect","Species Richness",-34.3,115.1,"Adult",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4636119962253,11.1941681245191,-0.060646911651157,-0.0606469116511566,0.0580123953510092,-0.134384092412446,0.334085795178897,"Single","1","Single","Erect","Low",NA,2,"Leeuwin","Southwest Australian Shelf","Temperate Australasia"
"Ecklonia radiata",1357,"Smith et al. (2014)","68","South Australia",-33.64,134.85,"","October 2000 to January 200",11.67,13.52,NA,NA,5.68,5.01,"SE","Mean Species Richness",6,6,"m2","125","Figure 2 Means (1 SE) for (a) the total number of species, in each combination of Habitat  Region (n = 16 sites per combination of levels and a site consisted of counts summed across six transects) of Australasian temperate reef fishes. Standard errors are based on n = 4 location means within each region","Fig 2",NA,NA,10,"barren","Observational","Spatial","no","no","yes","no","barren","transect","Species Richness",-33.64,134.85,"Adult",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9131017390085,12.2719436113437,-0.136290015063602,-0.136290015063602,0.320029163971635,-0.130130486215729,0.334038914310114,"Single","1","Single","Erect","Low",NA,2,"South Australian Gulfs","Southwest Australian Shelf","Temperate Australasia"
"Ecklonia radiata",1359,"Smith et al. (2014)","68","New Zealand",-34.93,173.54,"","October 2000 to January 200",8.83,10.09,NA,NA,2.67,2.56,"SE","Mean Species Richness",6,6,"m2","125","Figure 2 Means (1 SE) for (a) the total number of species, in each combination of Habitat  Region (n = 16 sites per combination of levels and a site consisted of counts summed across six transects) of Australasian temperate reef fishes. Standard errors are based on n = 4 location means within each region","Fig 2",NA,NA,10,"barren","Observational","Spatial","no","no","yes","no","barren","transect","Species Richness",-34.93,173.54,"Adult",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54013761323109,6.27069374152494,-0.120604867203201,-0.1206048672032,0.127062521094012,-0.181471812185712,0.334705500775749,"Single","1","Single","Erect","Low",NA,2,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",1168,"Ling (2014)","UP2","St. Helen Island",34.052,-119.747,"OA","2013",2.5,4,NA,NA,3.5,1.4,"SD","Fish Richness",2,2,"","1","Kelp versus Barren Data (Unpublished)","",NA,NA,1,NA,"Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",34.052,-119.747,"Both",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.4,-0.356674943938732,-0.356674943938732,0.5392,-0.31749309288115,1.0126002330034,"Single","1","Single","Erect","Low",NA,57,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Ecklonia radiata",1165,"Kingsford (2011)","UP1","Cape Banks, New South Wales, Australia",-34,151.246,"OA","2011",11,14,NA,NA,0,0,"SE","Fish Richness",6,6,"","25","Kelp versus Barren Data (Unpublished)","",NA,NA,1,NA,"Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-34,151.246,"Both",25,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.22314355131421,-0.22314355131421,0,NA,NA,"Single","1","Single","Erect","Low",NA,2,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Macrocystis pyrifera",1197,"Krumhansl et al. (2015)","UP3","Queen Charlote Sound ",-41.084,174.344,"OA","10 weeks ",3.33,2.33,NA,NA,2.3,1.5,"SE","Species Richness ",3,3,"30 m2","80","Kelp Clearance","Unpublished data, replicated through time day 0, 1 day, 3 and 10 weeks after ",900,1,NA,"experiment","Experimental","Temporal","no","no","yes","no","kelp","Transect","Species Richness",-41.084,174.344,"Adult",80,80,"1","2",NA,NA,NA,NA,NA,"30-05-15",NA,NA,NA,NA,NA,NA,NA,NA,3.98371685740842,2.59807621135332,0.262595238022046,0.262595238022046,0.485055494437666,0.237251386441653,0.671357351697374,"Single","30","Multi","Erect","High",NA,2,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Macrocystis pyrifera",1146,"Bodkin (1988)","64","California, USA",35.667,-121.283,"OA","2 month in 1985",9,4,NA,NA,NA,NA,NA,"Species richness",1,1,"50*2","100","Macrocystis pyrifera","Table 1. Removals in over a ha",10000,12,13,"experiment","Experimental","Spatial","no","no","yes","no","kelp","Transect ","Species Richness",35.667,-121.283,"Both",100,100,"7","6",NA,NA,NA,NA,NA,"30-08-85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147180559946,0.693147180559945,NA,NA,NA,"Single","30","Multi","Erect","High",NA,11,"Northern California","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1386,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",0.905,0.19,1.235,0.302,0.33,0.112,"SE","Chromis crusma Density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Chromis crusma","Ovalentaria","Pomacentridae","3","Invertivore","24,5","na","Pelagic SA",1.51224997933543,0.513248477835054,0.470528701455226,0.470528701455226,0.0388661915040093,0.621215143922158,0.0998322411314075,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera",1387,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",0.523,0.048,0.726,0.096,0.203,0.048,"SE","Cheilodactylus variegatus Density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Cheilodactylus variegatus","Centrarchiformes","Cheilodactylidae","3,35","Invertivore","44","na","Demersal",0.930262866076036,0.21996363335788,0.373798488014174,0.373798488014174,0.019863886675657,0.689458484497274,0.100897059545777,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera",1390,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",0.048,0.048,0.096,0.096,0.048,0.048,"SE","Helcogrammoides chilensis Density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Helcogrammoides chilensis","Blenniiformes","Tripterygiidae","3,3","Invertivore","11,3","na","Benthic",0.21996363335788,0.21996363335788,0,0,0.00419555969931822,0,0.0952380952380952,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera",1389,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",0.286,0,0.457,0,0.171,0,"SE","Isacia conceptionis Density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Isacia conceptionis","Eupercaria","Haemulidae","2,91","Omnivore","60","na","Demersal",0.783620443837449,0,0.251536625815428,0.251536625815428,0.0176811408420386,0.506400291356831,0.0982909673224557,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera",1388,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",0.048,0,0.096,0,0.048,0,"SE","Halichoeres dispilus Density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Halichoeres dispilus","Eupercaria","Labridae","3,9","Carnivore","25","na","Benthic",0.21996363335788,0,0.0468835858988505,0.0468835858988505,0.00209777984965911,0.302777796580483,0.0963294570726444,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
